title,description,start_at,end_at,location,participation_type,category_name,organizer_email,status,max_participants,registration_deadline,requires_registration,is_free_entry,ticket_price,online_platform,online_meeting_url,registration_link,poster_image_url,poster_local_path,source_reference,source_event_url,source_uuid,seed_purpose
Folklore Night: Traditional Dances,Seară culturală dedicată dansurilor și tradițiilor populare românești.,2026-05-21 19:00:00,2026-05-21 21:00:00,Aula_M_Eminescu,on-site,Social,cultural.office@uni.events,published,300,,false,true,,,,,,manual_usv_inspired,,,,badge_culture;nearby_demo
Movie Screening: European Cinema,Vizionarea unui film european premiat urmată de o sesiune de discuții.,2026-05-14 18:00:00,2026-05-14 20:30:00,Aula_M_Eminescu,on-site,Social,cultural.office@uni.events,published,150,,false,true,,,,,,manual_usv_inspired,,,,badge_culture
Freshmen Mixer & Networking,"Eveniment de socializare pentru studenții din anul I. Muzică, jocuri și noi prieteni.",2026-05-19 18:00:00,2026-05-19 22:00:00,Campus USV,on-site,Social,student.association@uni.events,published,200,,false,true,,,,,,manual_usv_inspired,,,,badge_culture;notification_demo
USV Spring Marathon,Alergăm împreună pentru sănătate în campusul universitar.,2026-05-23 09:00:00,2026-05-23 12:00:00,Campus USV,on-site,Sport,sports.office@uni.events,published,500,2026-05-22 09:00:00,true,true,,,,,,manual_usv_inspired,,,,badge_sport;nearby_demo
Inter-Faculty Chess Championship,Campionatul de șah între facultăți. Demonstrează-ți strategia!,2026-05-27 15:00:00,2026-05-27 19:00:00,"Campus USV - Cladirea D, Sala BookCafe",on-site,Sport,sports.office@uni.events,published,32,2026-05-26 15:00:00,true,true,,,,,,manual_usv_inspired,,,,badge_sport
Eco Clean-up: Green Campus,Acțiune de voluntariat pentru ecologizarea spațiilor din jurul universității.,2026-05-30 10:00:00,2026-05-30 14:00:00,Campus USV,on-site,Volunteering,student.association@uni.events,published,100,2026-05-29 10:00:00,true,true,,,,,,manual_usv_inspired,,,,badge_volunteering
Charity Drive for Local Shelters,Colectare de alimente și produse pentru adăposturile locale din Suceava.,2026-06-08 09:00:00,2026-06-08 17:00:00,Building C,on-site,Volunteering,student.association@uni.events,published,,,false,true,,,,,,manual_usv_inspired,,,,badge_volunteering
Past: Intro to Python for Beginners,Curs introductiv despre sintaxa și bazele limbajului de programare Python.,2026-04-20 10:00:00,2026-04-20 13:00:00,Online — Google Meet,online,Workshop,organizer@uni.events,published,50,2026-04-19 10:00:00,true,true,,google-meet,https://meet.google.com/python-demo,,,manual_usv_inspired,,,,past_feedback_demo
Past: History Symposium 2026,Sesiune de comunicări științifice pe teme de istorie locală și regională.,2026-05-01 10:00:00,2026-05-01 16:00:00,Aula_M_Eminescu,on-site,Academic,organizer@uni.events,published,100,2026-04-30 10:00:00,true,true,,,,,,manual_usv_inspired,,,,past_feedback_demo
Past: Winter Gala Celebration,Festivitatea de iarnă a studenților USV. Muzică clasică și premii.,2025-12-15 18:00:00,2025-12-15 21:00:00,Campus USV,on-site,Social,cultural.office@uni.events,published,300,,false,true,,,,,,manual_usv_inspired,,,,past_feedback_demo
Advanced Web Dev Bootcamp,Curs intensiv de dezvoltare web pentru avansați. Locuri limitate!,2026-06-20 09:00:00,2026-06-20 17:00:00,E239,on-site,Workshop,fiesc.organizer@uni.events,published,5,2026-06-19 09:00:00,true,false,100,,,,,,manual_usv_inspired,,,badge_tech;waitlist_demo
Youth Policy Summit 2026,Dezbatere despre politicile de tineret și implicarea studenților în viața cetății.,2026-05-26 11:00:00,2026-05-26 15:00:00,Aula_M_Eminescu,hybrid,Academic,student.association@uni.events,published,150,2026-05-25 11:00:00,true,true,,ms-teams,https://teams.microsoft.com/l/meetup-join/summit,,,manual_usv_inspired,,,,nearby_demo
Tech Startup Weekend,Transformă-ți ideea într-un business în doar 48 de ore. Mentorat de la experți.,2026-06-12 18:00:00,2026-06-14 20:00:00,"Campus USV - Cladirea D, Sala BookCafe",on-site,Career,career.center@uni.events,published,60,2026-06-11 18:00:00,true,false,50,,,,,,manual_usv_inspired,,,most_awaited
Creative Photography Class,Atelier de fotografie creativă pentru pasionați. Compoziție și lumină.,2026-06-03 16:00:00,2026-06-03 18:00:00,D006,on-site,Social,cultural.office@uni.events,pending,20,2026-06-02 16:00:00,true,true,,,,,,manual_usv_inspired,,,,badge_culture
Cloud Computing and Infrastructure,"Conferință despre AWS, Azure și arhitecturi de tip serverless.",2026-06-18 10:00:00,2026-06-18 12:00:00,Online — Discord,online,Academic,fiesc.organizer@uni.events,published,100,2026-06-17 10:00:00,true,true,,discord,https://discord.gg/demo-link,,,manual_usv_inspired,,,,badge_tech
